Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
dmx.districtm.io          dmx.districtm.io          A      Success   Answer     268      4 104.16.68.69
dmx.districtm.io          dmx.districtm.io          A      Success   Answer     268      4 104.16.190.66
pandg.tapad.com           pandg.tapad.com           CNAME  Success   Answer     289      8 pixel.tapad.com
pandg.tapad.com           pixel.tapad.com           A      Success   Answer     289      4 35.227.197.177
bh.contextweb.com         bh.contextweb.com         CNAME  Success   Answer      54      8 lga-bh.contextweb.com
bh.contextweb.com         lga-bh.contextweb.com     CNAME  Success   Answer      54      8 lga-bh-bgp.contextweb.com
bh.contextweb.com         lga-bh-bgp.contextweb.com A      Success   Answer      54      4 198.148.27.139
bh.contextweb.com         lga-bh-bgp.contextweb.com A      Success   Answer      54      4 198.148.27.140
secure.adnxs.com          secure.adnxs.com          CNAME  Success   Answer     243      8 g.geogslb.com
secure.adnxs.com          g.geogslb.com             CNAME  Success   Answer     243      8 ib.anycast.adnxs.com
secure.adnxs.com          ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.149.101
secure.adnxs.com          ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.166
secure.adnxs.com          ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.165
secure.adnxs.com          ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.149.100
secure.adnxs.com          ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.198
secure.adnxs.com          ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.133
secure.adnxs.com          ib.anycast.adnxs.com      A      Success   Answer     243      4 104.254.148.196
pghub.io                  pghub.io                  A      Success   Answer   67036      4 35.241.45.217
www.googleadservices.com  www.googleadservices.com  A      Success   Answer     237      4 142.250.138.156
www.googleadservices.com  www.googleadservices.com  A      Success   Answer     237      4 142.250.138.155
www.googleadservices.com  www.googleadservices.com  A      Success   Answer     237      4 142.250.138.154
www.googleadservices.com  www.googleadservices.com  A      Success   Answer     237      4 142.250.138.157
images.adamtheautomato... images.adamtheautomato... A      Success   Answer     261      4 104.26.6.80
images.adamtheautomato... images.adamtheautomato... A      Success   Answer     261      4 104.26.7.80
images.adamtheautomato... images.adamtheautomato... A      Success   Answer     261      4 172.67.73.70
static.doubleclick.net    static.doubleclick.net    CNAME  Success   Answer      69      8 static-doubleclick-net.l.google...
static.doubleclick.net    static-doubleclick-net... A      Success   Answer      69      4 172.217.1.230
www.elespanol.com         www.elespanol.com         CNAME  Success   Answer     236      8 caching.elespanol.edge2befaster.io
www.elespanol.com         caching.elespanol.edge... CNAME  Success   Answer     236      8 caching.meta-cluster-03.edge2be...
www.elespanol.com         caching.meta-cluster-0... CNAME  Success   Answer     236      8 cec01.usg.edgetcdn.io
www.elespanol.com         cec01.usg.edgetcdn.io     A      Success   Answer     236      4 86.106.87.2
www.elespanol.com         cec01.usg.edgetcdn.io     A      Success   Answer     236      4 185.59.223.130
www.elespanol.com         cec01.usg.edgetcdn.io     A      Success   Answer     236      4 185.152.67.178
www.youtube.com           www.youtube.com           CNAME  Success   Answer     153      8 youtube-ui.l.google.com
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 216.58.194.142
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.9.14
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 142.250.68.142
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.9.142
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 216.58.193.142
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.6.142
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.1.238
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 216.58.194.46
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.1.142
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.12.46
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.2.238
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.14.174
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 142.251.32.206
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.12.78
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 172.217.6.174
www.youtube.com           youtube-ui.l.google.com   A      Success   Answer     153      4 142.250.68.174
mid.rkdms.com             mid.rkdms.com             A      Success   Answer      33      4 107.23.38.0
mid.rkdms.com             mid.rkdms.com             A      Success   Answer      33      4 34.197.11.2
mid.rkdms.com             mid.rkdms.com             A      Success   Answer      33      4 52.72.172.46
mid.rkdms.com             mid.rkdms.com             A      Success   Answer      33      4 35.172.64.127
mid.rkdms.com             mid.rkdms.com             A      Success   Answer      33      4 52.44.11.196
mid.rkdms.com             mid.rkdms.com             A      Success   Answer      33      4 3.215.9.17
mid.rkdms.com             mid.rkdms.com             A      Success   Answer      33      4 52.86.229.157
mid.rkdms.com             mid.rkdms.com             A      Success   Answer      33      4 52.22.122.247
sync.targeting.unrulym... sync.targeting.unrulym... CNAME  Success   Answer     243      8 sync.1rx.io
sync.targeting.unrulym... sync.1rx.io               A      Success   Answer     243      4 199.127.204.142
8ecfe66d2c9826338afd78... 8ecfe66d2c9826338afd78... CNAME  Success   Answer     241      8 pagead-googlehosted.l.google.com
8ecfe66d2c9826338afd78... pagead-googlehosted.l.... A      Success   Answer     241      4 172.217.14.161
tpc.googlesyndication.com tpc.googlesyndication.com A      Success   Answer      62      4 142.250.115.132
accounts.google.com       accounts.google.com       A      Success   Answer     243      4 172.217.12.45
r2---sn-q4flrnez.c.2md... r2---sn-q4flrnez.c.2md... CNAME  Success   Answer     618      8 r2.sn-q4flrnez.c.2mdn.net
r2---sn-q4flrnez.c.2md... r2.sn-q4flrnez.c.2mdn.net A      Success   Answer     618      4 173.194.191.199
powershellforsysadmins... powershellforsysadmins... A      Success   Answer     262      4 104.21.70.84
powershellforsysadmins... powershellforsysadmins... A      Success   Answer     262      4 172.67.221.226
gcdn.2mdn.net             gcdn.2mdn.net             CNAME  Success   Answer     288      8 bandaid-redirector.l.google.com
gcdn.2mdn.net             bandaid-redirector.l.g... A      Success   Answer     288      4 172.217.1.142
static.criteo.net         static.criteo.net         CNAME  Success   Answer     742      8 static.da1.vip.prod.criteo.net
static.criteo.net         static.da1.vip.prod.cr... A      Success   Answer     742      4 74.119.118.134
6130eee8e3677b8a654318... 6130eee8e3677b8a654318... CNAME  Success   Answer     242      8 pagead-googlehosted.l.google.com
6130eee8e3677b8a654318... pagead-googlehosted.l.... A      Success   Answer     242      4 172.217.14.161
b1sync.zemanta.com        b1sync.zemanta.com        CNAME  Success   Answer      63      8 zemanta-ny.outbrain.org
b1sync.zemanta.com        zemanta-ny.outbrain.org   CNAME  Success   Answer      63      8 nydc1.outbrain.org
b1sync.zemanta.com        nydc1.outbrain.org        A      Success   Answer      63      4 64.202.112.127
targeting.unrulymedia.com targeting.unrulymedia.com CNAME  Success   Answer     270      8 tag.1rx.io
targeting.unrulymedia.com tag.1rx.io                A      Success   Answer     270      4 74.118.184.143
ccbc6b10e7ec07ae8c209c... ccbc6b10e7ec07ae8c209c... CNAME  Success   Answer     242      8 pagead-googlehosted.l.google.com
ccbc6b10e7ec07ae8c209c... pagead-googlehosted.l.... A      Success   Answer     242      4 172.217.14.161
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 142.250.114.119
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 216.58.193.150
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 142.250.68.150
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 172.217.6.182
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 172.217.6.150
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 142.250.138.119
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 172.217.9.182
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 172.217.12.54
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 142.250.113.119
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 172.217.2.246
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 142.250.68.182
i.ytimg.com               i.ytimg.com               A      Success   Answer     235      4 172.217.9.22
sync-tm.everesttech.net   sync-tm.everesttech.net   CNAME  Success   Answer      24      8 sync.tubemogul.com
sync-tm.everesttech.net   sync.tubemogul.com        CNAME  Success   Answer      24      8 syncf.tubemogul.com
sync-tm.everesttech.net   syncf.tubemogul.com       CNAME  Success   Answer      24      8 h2.shared.global.fastly.net
sync-tm.everesttech.net   h2.shared.global.fastl... A      Success   Answer      24      4 151.101.50.49
dco-assets.everestads.net dco-assets.everestads.net CNAME  Success   Answer       3      8 san-www.adobetag.com.edgekey.net
dco-assets.everestads.net san-www.adobetag.com.e... CNAME  Success   Answer       3      8 e5799.g.akamaiedge.net
dco-assets.everestads.net e5799.g.akamaiedge.net    A      Success   Answer       3      4 23.73.152.136
ads.yahoo.com             ads.yahoo.com             CNAME  Success   Answer      31      8 edge.gycpi.b.yahoodns.net
ads.yahoo.com             edge.gycpi.b.yahoodns.net A      Success   Answer      31      4 69.147.86.12
ads.yahoo.com             edge.gycpi.b.yahoodns.net A      Success   Answer      31      4 69.147.86.11
dt.adsafeprotected.com    dt.adsafeprotected.com    CNAME  Success   Answer     279      8 nyidt.adsafeprotected.com
dt.adsafeprotected.com    nyidt.adsafeprotected.com A      Success   Answer     279      4 104.244.36.20
ups.analytics.yahoo.com   ups.analytics.yahoo.com   CNAME  Success   Answer       4      8 prod.ups-ats.aolp-ds-prd.aws.oa...
ups.analytics.yahoo.com   prod.ups-ats.aolp-ds-p... CNAME  Success   Answer       4      8 prod.ups-ats.us-east-1.aolp-ds-...
ups.analytics.yahoo.com   prod.ups-ats.us-east-1... A      Success   Answer       4      4 3.218.90.66
ups.analytics.yahoo.com   prod.ups-ats.us-east-1... A      Success   Answer       4      4 52.45.33.138
ups.analytics.yahoo.com   prod.ups-ats.us-east-1... A      Success   Answer       4      4 54.175.87.114
news.google.com           news.google.com           A      Success   Answer     242      4 142.250.68.174
sync.1rx.io               sync.1rx.io               A      Success   Answer     244      4 199.127.204.142
s4.eestatic.com           s4.eestatic.com           CNAME  Success   Answer     236      8 caching.elespanol.edge2befaster.io
s4.eestatic.com           caching.elespanol.edge... CNAME  Success   Answer     236      8 caching.meta-cluster-03.edge2be...
s4.eestatic.com           caching.meta-cluster-0... CNAME  Success   Answer     236      8 cec01.usg.edgetcdn.io
s4.eestatic.com           cec01.usg.edgetcdn.io     A      Success   Answer     236      4 86.106.87.2
s4.eestatic.com           cec01.usg.edgetcdn.io     A      Success   Answer     236      4 185.152.67.178
s4.eestatic.com           cec01.usg.edgetcdn.io     A      Success   Answer     236      4 185.59.223.130
content-autofill.googl... content-autofill.googl... A      Success   Answer     153      4 142.251.32.202
talk.hyvor.com            talk.hyvor.com            A      Success   Answer     261      4 172.67.131.101
talk.hyvor.com            talk.hyvor.com            A      Success   Answer     261      4 104.21.3.252
writingtecharticles.com   writingtecharticles.com   A      Success   Answer     262      4 172.67.170.33
writingtecharticles.com   writingtecharticles.com   A      Success   Answer     262      4 104.21.28.8
ec-ns.sascdn.com          ec-ns.sascdn.com          CNAME  Success   Answer     550      8 cs410.wac.edgecastcdn.net
ec-ns.sascdn.com          cs410.wac.edgecastcdn.net A      Success   Answer     550      4 93.184.216.16
cafemedia-d.openx.net     cafemedia-d.openx.net     A      Success   Answer     868      4 35.244.159.8
cafemedia-d.openx.net     cafemedia-d.openx.net     A      Success   Answer     868      4 34.98.64.218
sync.ipredictive.com      sync.ipredictive.com      A      Success   Answer      54      4 52.1.224.136
sync.ipredictive.com      sync.ipredictive.com      A      Success   Answer      54      4 3.211.195.107
sync.ipredictive.com      sync.ipredictive.com      A      Success   Answer      54      4 34.197.34.7
sync.ipredictive.com      sync.ipredictive.com      A      Success   Answer      54      4 35.174.135.52
sync.ipredictive.com      sync.ipredictive.com      A      Success   Answer      54      4 3.232.11.255
sync.ipredictive.com      sync.ipredictive.com      A      Success   Answer      54      4 34.196.165.123
sync.ipredictive.com      sync.ipredictive.com      A      Success   Answer      54      4 52.7.101.167
sync.ipredictive.com      sync.ipredictive.com      A      Success   Answer      54      4 34.202.196.84
rtb.gumgum.com            rtb.gumgum.com            A      Success   Answer      49      4 34.227.238.176
rtb.gumgum.com            rtb.gumgum.com            A      Success   Answer      49      4 52.20.164.80
rtb.gumgum.com            rtb.gumgum.com            A      Success   Answer      49      4 50.19.122.6
rtb.gumgum.com            rtb.gumgum.com            A      Success   Answer      49      4 54.156.42.96
rtb.gumgum.com            rtb.gumgum.com            A      Success   Answer      49      4 54.227.74.7
rtb.gumgum.com            rtb.gumgum.com            A      Success   Answer      49      4 54.224.68.42
rtb.gumgum.com            rtb.gumgum.com            A      Success   Answer      49      4 52.44.174.112
rtb.gumgum.com            rtb.gumgum.com            A      Success   Answer      49      4 50.16.14.221
es.stackoverflow.com      es.stackoverflow.com      A      Success   Answer    1229      4 151.101.65.69
es.stackoverflow.com      es.stackoverflow.com      A      Success   Answer    1229      4 151.101.193.69
es.stackoverflow.com      es.stackoverflow.com      A      Success   Answer    1229      4 151.101.129.69
es.stackoverflow.com      es.stackoverflow.com      A      Success   Answer    1229      4 151.101.1.69
